SMD_ID,population2010,population2020,change
3G05,1994,2091,4.86%
3G06,1988,2374,19.42%
3G07,2018,2098,3.96%
4A01,1744,1957,12.21%
4A02,1959,2219,13.27%
4A03,2305,2309,0.17%
4A04,2097,2484,18.45%
4A05,2146,2808,30.85%
4A06,2123,2620,23.41%
4A07,2113,2522,19.36%
4A08,2166,2592,19.67%
4B01,2114,2886,36.52%
4B02,2108,2190,3.89%
4B03,2084,2192,5.18%
4B04,2131,2254,5.77%
4B05,1905,2048,7.51%
4B06,2140,2321,8.46%
4B07,2010,2974,47.96%
4B08,2026,2535,25.12%
4B09,2002,2457,22.73%
4C01,2049,2050,0.05%
4C02,1937,2278,17.60%
4C03,1898,1937,2.05%
4C04,2176,1798,-17.37%
4C05,1870,2100,12.30%
4C06,2169,2719,25.36%
4C07,2014,2372,17.78%
4C08,1966,2201,11.95%
4C09,1936,1999,3.25%
4C10,2016,2265,12.35%
4D01,2083,2408,15.60%
4D02,2163,2245,3.79%
4D03,2151,2205,2.51%
4D04,2220,2200,-0.90%
4D05,2062,2197,6.55%
4D06,1905,1964,3.10%
5A01,2143,2389,11.48%
5A02,2004,1950,-2.69%
5A03,2133,2159,1.22%
5A04,1896,1919,1.21%
5A05,1920,1710,-10.94%
5A06,2314,2867,23.90%
5A07,2006,2338,16.55%
5A08,1927,2849,47.85%
5B01,2028,2291,12.97%
5B02,2016,2215,9.87%
5B03,2012,2368,17.69%
5B04,1850,2654,43.46%
5B05,1984,2196,10.69%
5C01,2004,1988,-0.80%
5C02,1972,1880,-4.67%
5C03,2019,3747,85.59%
5C04,1890,3093,63.65%
5C05,2102,2553,21.46%
5C06,1902,1911,0.47%
5C07,1979,2194,10.86%
5D01,2037,4036,98.13%
5D02,2142,2107,-1.63%
5D03,2019,2416,19.66%
5D04,1903,1852,-2.68%
5D05,2020,1931,-4.41%
5D06,2214,2460,11.11%
5D07,2175,2210,1.61%
5E01,1976,3103,57.03%
5E02,2062,2362,14.55%
5E03,2100,4081,94.33%
5E04,1955,2382,21.84%
5E05,1937,2367,22.20%
5E06,1914,2118,10.66%
5E07,1979,1959,-1.01%
5E08,1850,2558,38.27%
5E09,1884,1974,4.78%
5E10,2025,2238,10.52%
6A01,1994,2331,16.90%
6A02,1949,1961,0.62%
6A03,2123,2276,7.21%
6A04,2028,2185,7.74%
6A05,1965,2305,17.30%
6A06,2124,2400,12.99%
6A07,2094,2480,18.43%
6A08,2113,2359,11.64%
6B01,2007,2026,0.95%
6B02,2066,2335,13.02%
6B03,2083,2344,12.53%
6B04,2060,2017,-2.09%
6B05,2031,2142,5.47%
6B06,1997,2498,25.09%
6B07,2078,2151,3.51%
6B08,1931,2203,14.09%
6B09,2015,2447,21.44%
6B10,1949,2238,14.83%
6C01,1929,1818,-5.75%
6C02,1570,1470,-6.37%
6C03,2171,2488,14.60%
6C04,2008,3004,49.60%
6C05,1869,3505,87.53%
6C06,2061,8606,317.56%
6D01,2030,3935,93.84%
6D02,2057,4581,122.70%
6D03,2098,2254,7.44%
6D04,1980,3316,67.47%
6D05,1799,3019,67.82%
6D06,2369,2465,4.05%
6D07,2026,7791,284.55%
6E01,1963,3225,64.29%
6E02,1895,2327,22.80%
6E03,1689,1840,8.94%
6E04,2091,2650,26.73%
6E05,1988,5013,152.16%
6E06,1936,1310,-32.33%
6E07,1864,2887,54.88%
7B01,2178,2268,4.13%
7B02,2128,2259,6.16%
7B03,1912,2159,12.92%
7B04,2042,2083,2.01%
7B05,1989,2125,6.84%
7B06,2055,2060,0.24%
7B07,2241,2196,-2.01%
7C01,2161,2769,28.14%
7C02,1974,1787,-9.47%
7C03,1994,1652,-17.15%
7C04,2021,2022,0.05%
7C05,1969,2293,16.46%
7C06,1974,1948,-1.32%
7C07,1933,2216,14.64%
7D01,1774,1865,5.13%
7D02,2110,1238,-41.33%
7D03,1976,2437,23.33%
7D04,1962,1996,1.73%
7D05,2111,2806,32.92%
7D06,2034,2185,7.42%
7D07,1959,4059,107.20%
7E01,2017,2036,0.94%
7E02,2015,2024,0.45%
7E03,1993,1893,-5.02%
7E04,1997,2636,32.00%
7E05,1800,2205,22.50%
7E06,1889,2042,8.10%
7E07,1851,2004,8.27%
7F01,2044,2730,33.56%
7F02,2236,2284,2.15%
7F03,2191,1747,-20.26%
7F04,1305,1393,6.74%
7F05,2223,2009,-9.63%
7F06,2060,2443,18.59%
7F07,3630,2386,-34.27%
8A01,2163,2128,-1.62%
8A02,2213,2386,7.82%
8A03,2115,2261,6.90%
8A04,859,906,5.47%
8A05,2048,1850,-9.67%
8A06,2032,2888,42.13%
8A07,2324,2727,17.34%
8B01,3287,3360,2.22%
8B02,2081,1809,-13.07%
8B03,1586,1651,4.10%
8B04,2163,2139,-1.11%
8B05,2616,2889,10.44%
8B06,1937,1993,2.89%
8B07,1720,1852,7.67%
8C01,1814,1902,4.85%
8C02,2120,1834,-13.49%
8C03,2417,2961,22.51%
8C04,2266,2397,5.78%
8C05,1713,1826,6.60%
8C06,1946,1626,-16.44%
8C07,2057,2234,8.60%
8D01,2160,2091,-3.19%
8D02,2114,2229,5.44%
8D03,2110,1960,-7.11%
8D04,2092,2742,31.07%
8D05,2100,1730,-17.62%
8D06,2071,2141,3.38%
8D07,2298,3430,49.26%
8E01,1924,2472,28.48%
8E02,2154,1967,-8.68%
8E03,2208,2076,-5.98%
8E04,2311,2557,10.64%
8E05,2289,2584,12.89%
8E06,2188,2537,15.95%
8E07,2169,2378,9.64%
